col1-time col2-mc1.x[0] col3-mc1.x[1] col4-mc1.y[0] 
387 92.000000 0.000000 0.000000 
388 91.000000 0.000000 0.000000 
389 90.000000 0.000000 0.000000 
390 89.000000 0.000000 0.000000 
391 88.000000 0.000000 0.000000 
392 87.000000 0.000000 0.000000 
393 86.000000 0.000000 0.000000 
394 85.000000 0.000000 0.000000 
395 84.000000 0.000000 0.000000 
396 83.000000 0.000000 0.000000 
397 82.000000 0.000000 0.000000 
398 81.000000 0.000000 0.000000 
399 80.000000 0.000000 0.000000 
400 79.000000 0.000000 0.000000 
401 78.000000 0.000000 0.000000 
402 77.000000 0.000000 0.000000 
403 76.000000 0.000000 0.000000 
404 75.000000 0.000000 0.000000 
405 74.000000 0.000000 0.000000 
406 73.000000 0.000000 0.000000 
407 72.000000 0.000000 0.000000 
408 71.000000 0.000000 0.000000 
409 70.000000 0.000000 0.000000 
410 69.000000 0.000000 0.000000 
411 68.000000 0.000000 0.000000 
412 67.000000 0.000000 0.000000 
413 66.000000 0.000000 0.000000 
414 65.000000 0.000000 0.000000 
415 64.000000 0.000000 0.000000 
416 63.000000 0.000000 0.000000 
417 62.000000 0.000000 0.000000 
418 61.000000 0.000000 0.000000 
419 60.000000 0.000000 0.000000 
420 59.000000 0.000000 0.000000 
421 58.000000 0.000000 0.000000 
422 57.000000 0.000000 0.000000 
423 56.000000 0.000000 0.000000 
424 55.000000 0.000000 0.000000 
425 54.000000 0.000000 0.000000 
426 53.000000 0.000000 0.000000 
427 52.000000 0.000000 0.000000 
428 51.000000 0.000000 0.000000 
429 50.000000 0.000000 0.000000 
430 49.000000 0.000000 0.000000 
431 48.000000 0.000000 0.000000 
432 47.000000 0.000000 0.000000 
433 46.000000 0.000000 0.000000 
434 45.000000 0.000000 0.000000 
435 44.000000 0.000000 0.000000 
436 43.000000 0.000000 0.000000 
437 42.000000 0.000000 0.000000 
438 41.000000 0.000000 0.000000 
439 40.000000 0.000000 0.000000 
440 39.000000 0.000000 0.000000 
441 38.000000 0.000000 0.000000 
442 37.000000 0.000000 0.000000 
443 36.000000 0.000000 0.000000 
444 35.000000 0.000000 0.000000 
445 34.000000 0.000000 0.000000 
446 33.000000 0.000000 0.000000 
447 32.000000 0.000000 0.000000 
448 31.000000 0.000000 0.000000 
449 30.000000 0.000000 0.000000 
450 29.000000 0.000000 0.000000 
451 28.000000 0.000000 0.000000 
452 27.000000 0.000000 0.000000 
453 26.000000 0.000000 0.000000 
454 25.000000 0.000000 0.000000 
455 24.000000 0.000000 0.000000 
456 23.000000 0.000000 0.000000 
457 22.000000 0.000000 0.000000 
458 21.000000 0.000000 0.000000 
459 20.000000 0.000000 0.000000 
460 19.000000 0.000000 0.000000 
461 18.000000 0.000000 0.000000 
462 17.000000 0.000000 0.000000 
463 16.000000 0.000000 0.000000 
464 15.000000 0.000000 0.000000 
465 14.000000 0.000000 0.000000 
466 13.000000 0.000000 0.000000 
467 12.000000 0.000000 0.000000 
468 11.000000 0.000000 0.000000 
469 10.000000 0.000000 0.000000 
470 9.000000 0.000000 0.000000 
471 8.000000 0.000000 0.000000 
472 7.000000 0.000000 0.000000 
473 6.000000 0.000000 0.000000 
474 5.000000 0.000000 0.000000 
475 4.000000 0.000000 0.000000 
476 3.000000 0.000000 0.000000 
477 2.000000 0.000000 0.000000 
478 1.000000 0.000000 0.000000 
479 0.000000 0.000000 0.000000 
480 98.000000 1.000000 1.000000 
481 97.000000 1.000000 1.000000 
482 96.000000 1.000000 1.000000 
